part_number,family,category,core,vdd_min,vdd_max,vddio_min,vddio_max,temp_min_C,temp_max_C,flash_kB,ram_kB,max_freq_MHz,package,interfaces,adc_bits,notes,source
QuarkD2000_1,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,32,8,32,32-QFN,I2C/SPI/UART,12-bit,Low-power x86 MCU,datasheet
QuarkSE_2,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/USB,12-bit,MCU with sensor subsystem,datasheet
Curie_3,Curie Module,MCU+BLE,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/BLE,12-bit,Wearable module,datasheet
Edison_4,Module,MCU+WiFi,Atom,3.3,3.6,3.3,3.6,-40,85,4096,1024,500,Module,WiFi/BT/I2C/SPI/UART,12-bit,IoT module,datasheet
MAX10_5,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,200,BGA,GPIO/ADC,12-bit,Altera MAX 10 FPGA,datasheet
CycloneV_6,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,800,BGA,GPIO/ADC,12-bit,Altera Cyclone V FPGA,datasheet
IntelRealSenseD435_7,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,Depth camera module,datasheet
IntelLIDARL515_8,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,LIDAR depth camera,datasheet
QuarkD2000_9,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,32,8,32,32-QFN,I2C/SPI/UART,12-bit,Low-power x86 MCU,datasheet
QuarkSE_10,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/USB,12-bit,MCU with sensor subsystem,datasheet
Curie_11,Curie Module,MCU+BLE,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/BLE,12-bit,Wearable module,datasheet
Edison_12,Module,MCU+WiFi,Atom,3.3,3.6,3.3,3.6,-40,85,4096,1024,500,Module,WiFi/BT/I2C/SPI/UART,12-bit,IoT module,datasheet
MAX10_13,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,200,BGA,GPIO/ADC,12-bit,Altera MAX 10 FPGA,datasheet
CycloneV_14,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,800,BGA,GPIO/ADC,12-bit,Altera Cyclone V FPGA,datasheet
IntelRealSenseD435_15,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,Depth camera module,datasheet
IntelLIDARL515_16,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,LIDAR depth camera,datasheet
QuarkD2000_17,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,32,8,32,32-QFN,I2C/SPI/UART,12-bit,Low-power x86 MCU,datasheet
QuarkSE_18,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/USB,12-bit,MCU with sensor subsystem,datasheet
Curie_19,Curie Module,MCU+BLE,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/BLE,12-bit,Wearable module,datasheet
Edison_20,Module,MCU+WiFi,Atom,3.3,3.6,3.3,3.6,-40,85,4096,1024,500,Module,WiFi/BT/I2C/SPI/UART,12-bit,IoT module,datasheet
MAX10_21,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,200,BGA,GPIO/ADC,12-bit,Altera MAX 10 FPGA,datasheet
CycloneV_22,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,800,BGA,GPIO/ADC,12-bit,Altera Cyclone V FPGA,datasheet
IntelRealSenseD435_23,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,Depth camera module,datasheet
IntelLIDARL515_24,RealSense,SENSOR,,1.2,3.3,1.2,3.3,-10,40,0,0,0,Module,USB3,0,LIDAR depth camera,datasheet
QuarkD2000_25,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,32,8,32,32-QFN,I2C/SPI/UART,12-bit,Low-power x86 MCU,datasheet
QuarkSE_26,Quark,MCU,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/USB,12-bit,MCU with sensor subsystem,datasheet
Curie_27,Curie Module,MCU+BLE,x86,1.71,3.6,1.71,3.6,-40,85,384,80,32,BGA,I2C/SPI/UART/BLE,12-bit,Wearable module,datasheet
Edison_28,Module,MCU+WiFi,Atom,3.3,3.6,3.3,3.6,-40,85,4096,1024,500,Module,WiFi/BT/I2C/SPI/UART,12-bit,IoT module,datasheet
MAX10_29,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,200,BGA,GPIO/ADC,12-bit,Altera MAX 10 FPGA,datasheet
CycloneV_30,FPGA,FPGA,FPGA,1.2,3.3,1.2,3.3,-40,125,0,0,800,BGA,GPIO/ADC,12-bit,Altera Cyclone V FPGA,datasheet
