part_number,family,category,core,vdd_min,vdd_max,vddio_min,vddio_max,temp_min_C,temp_max_C,flash_kB,ram_kB,max_freq_MHz,package,interfaces,adc_bits,notes,source
LPC55S69_1,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
LPC54608_2,LPC54000,MCU,Cortex-M4,1.8,3.6,1.8,3.6,-40,105,512,200,220,100-LQFP,USB/SD/MMC/SPI/I2C,12-bit,High-performance Cortex-M4 family,turn0search6
i.MXRT1060_3,i.MX RT,MCU/Crossover,Cortex-M7,1.71,3.6,1.71,3.6,-40,105,1024,512,600,BGA,USB/ETH/LCD/SPI/I2C,12-bit,Crossover MCU (high perf),turn1search1
MMA8451Q_4,Accelerometer,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,6x6 LGA,I2C,0,3-axis accelerometer 14-bit,turn1search3
FXOS8700CQ_5,6-axis,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,QFN,I2C/SPI,0,3-axis accel + 3-axis mag,turn1search4
LPC55S69_6,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
LPC54608_7,LPC54000,MCU,Cortex-M4,1.8,3.6,1.8,3.6,-40,105,512,200,220,100-LQFP,USB/SD/MMC/SPI/I2C,12-bit,High-performance Cortex-M4 family,turn0search6
i.MXRT1060_8,i.MX RT,MCU/Crossover,Cortex-M7,1.71,3.6,1.71,3.6,-40,105,1024,512,600,BGA,USB/ETH/LCD/SPI/I2C,12-bit,Crossover MCU (high perf),turn1search1
MMA8451Q_9,Accelerometer,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,6x6 LGA,I2C,0,3-axis accelerometer 14-bit,turn1search3
FXOS8700CQ_10,6-axis,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,QFN,I2C/SPI,0,3-axis accel + 3-axis mag,turn1search4
LPC55S69_11,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
LPC54608_12,LPC54000,MCU,Cortex-M4,1.8,3.6,1.8,3.6,-40,105,512,200,220,100-LQFP,USB/SD/MMC/SPI/I2C,12-bit,High-performance Cortex-M4 family,turn0search6
i.MXRT1060_13,i.MX RT,MCU/Crossover,Cortex-M7,1.71,3.6,1.71,3.6,-40,105,1024,512,600,BGA,USB/ETH/LCD/SPI/I2C,12-bit,Crossover MCU (high perf),turn1search1
MMA8451Q_14,Accelerometer,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,6x6 LGA,I2C,0,3-axis accelerometer 14-bit,turn1search3
FXOS8700CQ_15,6-axis,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,QFN,I2C/SPI,0,3-axis accel + 3-axis mag,turn1search4
LPC55S69_16,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
LPC54608_17,LPC54000,MCU,Cortex-M4,1.8,3.6,1.8,3.6,-40,105,512,200,220,100-LQFP,USB/SD/MMC/SPI/I2C,12-bit,High-performance Cortex-M4 family,turn0search6
i.MXRT1060_18,i.MX RT,MCU/Crossover,Cortex-M7,1.71,3.6,1.71,3.6,-40,105,1024,512,600,BGA,USB/ETH/LCD/SPI/I2C,12-bit,Crossover MCU (high perf),turn1search1
MMA8451Q_19,Accelerometer,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,6x6 LGA,I2C,0,3-axis accelerometer 14-bit,turn1search3
FXOS8700CQ_20,6-axis,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,QFN,I2C/SPI,0,3-axis accel + 3-axis mag,turn1search4
LPC55S69_21,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
LPC54608_22,LPC54000,MCU,Cortex-M4,1.8,3.6,1.8,3.6,-40,105,512,200,220,100-LQFP,USB/SD/MMC/SPI/I2C,12-bit,High-performance Cortex-M4 family,turn0search6
i.MXRT1060_23,i.MX RT,MCU/Crossover,Cortex-M7,1.71,3.6,1.71,3.6,-40,105,1024,512,600,BGA,USB/ETH/LCD/SPI/I2C,12-bit,Crossover MCU (high perf),turn1search1
MMA8451Q_24,Accelerometer,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,6x6 LGA,I2C,0,3-axis accelerometer 14-bit,turn1search3
FXOS8700CQ_25,6-axis,SENSOR,,1.95,3.6,1.62,3.6,-40,85,0,0,0,QFN,I2C/SPI,0,3-axis accel + 3-axis mag,turn1search4
LPC55S69_26,LPC55S6x,MCU,Cortex-M33,1.8,3.6,1.8,3.6,-40,105,640,320,150,64-TQFP,USB/ETH/I2C/SPI/CAN,10x16b,"Cortex-M33, security features",turn1search10
